step,train_loss,ema_loss,train_reward,grad_norm,tok_per_s,elapsed_s
1,0.0,0.0,0.05859375,0.0,214.91255685482753,11.24178147315979
2,0.0,0.0,0.05859375,0.0,9806.129474403364,0.24637651443481445
3,0.0,0.0,0.05859375,0.0,9918.387975906397,0.24358797073364258
4,0.0,0.0,0.05859375,0.0,9860.490233837154,0.24501824378967285
5,0.0,0.0,0.05859375,0.0,9870.546332967737,0.24476861953735352
6,0.0,0.0,0.05859375,0.0,9936.243770137844,0.2431502342224121
7,0.0,0.0,0.05859375,0.0,9960.631468650385,0.2425549030303955
8,0.0,0.0,0.05859375,0.0,9943.722188368125,0.2429673671722412
9,0.0,0.0,0.05859375,0.0,9920.912672724888,0.24352598190307617
10,0.0,0.0,0.05859375,0.0,9895.501139110098,0.24415135383605957
11,0.0,0.0,0.05859375,0.0,304.9894470933774,7.921585559844971
12,0.0,0.0,0.05859375,0.0,9944.083231113143,0.24295854568481445
13,0.0,0.0,0.05859375,0.0,9875.625387630518,0.2446427345275879
14,0.0,0.0,0.05859375,0.0,9899.15515885537,0.24406123161315918
15,0.0,0.0,0.05859375,0.0,9990.297481682454,0.2418346405029297
16,0.0,0.0,0.05859375,0.0,9991.932712919632,0.24179506301879883
17,0.0,0.0,0.05859375,0.0,9957.822309745332,0.24262332916259766
18,0.0,0.0,0.05859375,0.0,9975.55534948372,0.24219202995300293
19,0.0,0.0,0.05859375,0.0,9946.357427152685,0.2429029941558838
20,0.0,0.0,0.05859375,0.0,9784.853073264936,0.24691224098205566
21,-0.52734375,-0.0263671875,0.05859375,0.024265017058119457,328.95304855319347,7.344513177871704
22,-0.37890625,-0.043994140625,0.05859375,0.03230642588347203,9812.795556399104,0.24620914459228516
23,0.029296875,-0.04032958984374999,0.05859375,0.057535116098820414,9835.281893401532,0.24564623832702637
24,0.12353515625,-0.03213635253906249,0.05859375,0.06820700588523924,9860.931618716762,0.24500727653503418
25,-0.18359375,-0.03970922241210936,0.05859375,0.07160573217097811,9782.897674526372,0.2469615936279297
26,0.98046875,0.01129967620849611,0.05859375,0.139642955312868,9785.901942417002,0.2468857765197754
27,-0.546875,-0.016609057601928694,0.05859375,0.14141066862230645,9760.170503272833,0.24753665924072266
28,-0.578125,-0.04468485472183226,0.05859375,0.14304651349449787,9805.85428974257,0.2463834285736084
29,0.0,-0.04245061198574064,0.05859375,0.14304651349449787,9841.02232658777,0.24550294876098633
30,0.0,-0.04032808138645361,0.05859375,0.14304651349449787,9862.572765566481,0.2449665069580078
31,0.0,-0.03831167731713093,0.05859375,0.14304651349449787,327.38616041919124,7.379664421081543
32,0.0,-0.03639609345127438,0.05859375,0.14304651349449787,9780.961938618022,0.2470104694366455
33,0.0,-0.03457628877871066,0.05859375,0.14304651349449787,9779.36671279649,0.24705076217651367
34,0.0,-0.032847474339775126,0.05859375,0.14304651349449787,9894.390001562257,0.24417877197265625
35,0.0,-0.031205100622786367,0.05859375,0.14304651349449787,9802.249848373021,0.246474027633667
36,0.0,-0.029644845591647047,0.05859375,0.14304651349449787,9818.224370582451,0.24607300758361816
37,0.0,-0.028162603312064695,0.05859375,0.14304651349449787,9849.257827891837,0.24529767036437988
38,0.0,-0.02675447314646146,0.05859375,0.14304651349449787,9905.812791855942,0.2438971996307373
39,0.0,-0.025416749489138385,0.05859375,0.14304651349449787,9942.853841564884,0.24298858642578125
40,0.0,-0.024145912014681463,0.05859375,0.14304651349449787,9826.33598544683,0.24586987495422363
1,0.0,0.0,0.05859375,0.0,224.30401283832018,10.771095752716064
2,0.0,0.0,0.05859375,0.0,9820.603150636474,0.24601340293884277
3,0.0,0.0,0.05859375,0.0,9871.430943887342,0.24474668502807617
4,0.0,0.0,0.05859375,0.0,9900.238349673442,0.2440345287322998
5,0.0,0.0,0.05859375,0.0,9901.26373077701,0.24400925636291504
6,0.0,0.0,0.05859375,0.0,9839.694076727455,0.24553608894348145
7,0.0,0.0,0.05859375,0.0,9817.758264755066,0.24608469009399414
8,0.0,0.0,0.05859375,0.0,9896.15827699255,0.24413514137268066
9,0.0,0.0,0.05859375,0.0,9871.152082028422,0.24475359916687012
10,0.0,0.0,0.05859375,0.0,9924.225858673308,0.24344468116760254
11,0.0,0.0,0.05859375,0.0,303.87970279074125,7.950514554977417
12,0.0,0.0,0.05859375,0.0,9802.33518608444,0.24647188186645508
13,0.0,0.0,0.05859375,0.0,9873.854820762162,0.24468660354614258
14,0.0,0.0,0.05859375,0.0,9871.796372931814,0.2447376251220703
15,0.0,0.0,0.05859375,0.0,9866.4234462735,0.24487090110778809
16,0.0,0.0,0.05859375,0.0,9765.625929009775,0.24739837646484375
17,0.0,0.0,0.05859375,0.0,9801.05527641107,0.2465040683746338
18,0.0,0.0,0.05859375,0.0,9871.69058805765,0.24474024772644043
19,0.0,0.0,0.05859375,0.0,9855.992281281915,0.24513006210327148
20,0.0,0.0,0.05859375,0.0,9815.390369845883,0.24614405632019043
21,0.52734375,0.0263671875,0.05859375,0.02426603192261562,327.78808332101175,7.370615720748901
